name,city,province,latitude,longitude,categories,primaryCategories,review_count,avg_rating
Residence Inn Tysons Corner,Vienna,VA,38.92966,-77.248634,"Hotel,Extended Stay,Hotels & Motels",Accommodation & Food Services,4,4.25
Residence Inn Cincinnati Airport,Erlanger,KY,39.05286,-84.63176,"Hotel,Hotels And Motels",Accommodation & Food Services,1,2.0
Red Roof Inn - Richmond South,Richmond,VA,37.46498,-77.42698,"Hotels,Hotel",Accommodation & Food Services,10,3.8
Tokeland Hotel,Tokeland,WA,46.70786,-123.98496,"Hotel,Hotels",Accommodation & Food Services,4,3.25
Radisson Hotel Freehold,Freehold,NJ,40.247444,-74.29787,"Hotels,Hotel",Accommodation & Food Services,18,4.277777777777778
The Cedars Motel,Saint Ignace,MI,45.902782,-84.73701,"Hotel,Hotels,Motels,Lodging",Accommodation & Food Services,1,5.0
The Bay Motel,Superior,WI,46.72153,-92.07006,"Hotel,Motels,Hotels,Lodging",Accommodation & Food Services,1,4.0
The Bunkhouse Inn,Augusta,MT,47.49401,-112.39062,"Hotel,Hotels Motels,Motels,Lodging",Accommodation & Food Services,2,5.0
Sunrise Inn,Cooper Landing,AK,60.48985,-149.82098,"Hotel,Hotels,Motels,Lodging,Restaurants,Hotels Motels,Cooper Landing Ak",Accommodation & Food Services,1,4.0
Sonoran Suites of San Diego,Vista,CA,33.17071,-117.2255,"Hotel,Hotels",Accommodation & Food Services,3,5.0
Milwaukee Airport Inn,Milwaukee,WI,42.96002,-87.93687,"Hotel,Hotels",Accommodation & Food Services,6,1.8333333333333333
Microtel Inn by Wyndham Henrietta/Rochester,Henrietta,NY,43.058216,-77.65022,"Hotel,Hotels",Accommodation & Food Services,8,2.875
Microtel Inn & Suites Orlando (Universal Studios),Orlando,FL,28.45255,-81.46749,"Hotel,Hotels",Accommodation & Food Services,15,3.3333333333333335
Little Creel Resort,Chama,NM,36.872215,-106.58516,"Hotel,Outdoors,Bed & Breakfasts,Hotels & Motels,Campgrounds",Accommodation & Food Services,1,5.0
Lake Pleasant Lodge,Speculator,NY,43.49605,-74.36086,"Hotel,Hotels and motels,Resorts,Hotels Motels,Hotels & Motels",Accommodation & Food Services,1,5.0
La Quinta Inn Roanoke Salem,Salem,VA,37.321552,-80.03204,"Hotels,Hotel",Accommodation & Food Services,12,4.083333333333333
