name,city,province,latitude,longitude,categories,primaryCategories,review_count,avg_rating
Rancho Valencia Resort Spa,Rancho Santa Fe,CA,32.990959,-117.186136,"Hotels,Hotels and motels,Hotel and motel reservations,Resorts,Resort,Hotel",Accommodation & Food Services,3,5.0
Aloft Arundel Mills,Hanover,MD,39.155929,-76.716341,"Hotels,Hotels and motels,Travel agencies and bureaus,Hotel and Motel Management,Hotel & Motel Management,Motels,Hotel",Accommodation & Food Services,6,4.5
Hampton Inn Suites PortlandVancouver,Vancouver,WA,45.619212,-122.525196,"Hotels,Hotels and motels,Hotel and motel reservations,Corporate Lodging,Lodging,Real estate,Hotel",Accommodation & Food Services,6,5.0
Hotel Phillips,Kansas City,MO,39.100119,-94.584701,"Hotels,Caterers,Hotels and motels,Hotel,Restaurants",Accommodation & Food Services,5,4.2
The Inn at Solvang,Huntingdon,PA,40.527478,-77.969763,"Bed Breakfasts,Bed Breakfast,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
Econolodge,Perry,GA,32.471878,-83.745217,"Hotels,Corporate Lodging,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,5.0
Hotel Zelos,San Francisco,CA,37.785211,-122.40579,"Hotels,Resort,Spa,Meeting Room,Hotel",Accommodation & Food Services,4,4.25
EconoLodge,Vineland,NJ,39.487449,-75.044475,"Hotels and motels,Hotel and motel reservations,Motel,Hotels Motels,Banquet facilities,Hotel",Accommodation & Food Services,2,1.0
Hampton Inn Suites National HarborAlexandria Area,Oxon Hill,MD,38.782134,-77.015018,"Hotels,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,31,4.516129032258065
Fairmont Grand Del Mar,San Diego,CA,32.938326,-117.197639,"Hotels,Concierge Service,Resort,Resorts,Budget Hotels,Tourist Hotels,Hotels Motels,Family-friendly Hotels,Hotel,Business Hotels,Golf Courses",Accommodation & Food Services,16,4.875
Best Western at OHare,Des Plaines,IL,41.999219,-87.886164,"Hotels,Travel & Transport,Hotels Motels,Hotels & Motels,Hotel",Accommodation & Food Services,4,3.75
Clarion Resort Waterpark,Kissimmee,FL,28.286793,-81.350343,"Family-Friendly Hotels,Budget Hotels,Resorts,Resort,Tourist Hotels,Resort, Pool, and Hotel,Pool,Water Parks,Hotels & Motels,Business Hotels,Hotel",Accommodation & Food Services,1,5.0
Virgin Hotels Chicago,Chicago,IL,41.885982,-87.6261,"Hotels,Honeymoon Resorts,Resorts Reservations,Hotel",Accommodation & Food Services,19,4.776315789473684
The Boxer,Boston,MA,42.363911,-71.0624,"Hotels,Hotel",Accommodation & Food Services,50,4.285
The Old No. 77 Hotel & Chandlery,New Orleans,LA,29.947913,-90.06748,"Hotels,Hotel",Accommodation & Food Services,5,5.0
Main Street Station Casino Brewery Hotel,Las Vegas,NV,36.17432,-115.14565,"Hotels,Hotel",Accommodation & Food Services,29,4.401724137931034
Fremont Hotel & Casino,Las Vegas,NV,36.1708905,-115.14307,"Hotels,Hotel",Accommodation & Food Services,85,3.67
The Charlesmark Hotel,Boston,MA,42.3499894,-71.07857,"Hotels,Boutique Hotels,Hotel",Accommodation & Food Services,99,4.265656565656566
AC Hotel by Marriott Boston Downtown,Boston,MA,42.3450899,-71.06181,"Hotels,Hotel",Accommodation & Food Services,1,5.0
The Hotel of South Beach,Miami Beach,FL,25.77828,-80.13189,"Hotels,Hotel",Accommodation & Food Services,7,4.385714285714285
The Pearl Hotel,New York,NY,40.761483,-73.98547,"Hotels,Hotel",Accommodation & Food Services,1,5.0
Hotel Renew,Honolulu,HI,21.27278,-157.82226,"Hotels,Hotel",Accommodation & Food Services,18,4.555555555555555
Four Seasons Hotel New York Downtown,New York,NY,40.7124701,-74.00908,"Hotels,Hotel",Accommodation & Food Services,1,5.0
The James New York – NoMad,New York,NY,40.7445978,-73.98543,"Hotels,Hotel",Accommodation & Food Services,1,5.0
MOXY New Orleans Downtown/French Quarter Area,New Orleans,LA,29.953565,-90.07317,"Hotels,Hotel",Accommodation & Food Services,1,5.0
Bienville House,New Orleans,LA,29.9538338,-90.06527,"Hotels,Hotels and motels,Hotel",Accommodation & Food Services,1,5.0
Room Mate Lord Balfour,Miami Beach,FL,25.773148,-80.1326,"Hotels,Hotel",Accommodation & Food Services,65,4.257692307692308
The Westin Las Vegas Hotel & Spa,Las Vegas,NV,36.1151369,-115.16572,"Hotels,Hotel",Accommodation & Food Services,171,4.200584795321637
The Broome,New York,NY,40.7213701,-73.99934,"Hotels,Hotels and motels,Hotel",Accommodation & Food Services,2,5.0
W Boston,Boston,MA,42.350811,-71.06557,"Hotels,Hotel",Accommodation & Food Services,78,4.225641025641026
"Mandarin Oriental, Miami",Miami,FL,25.76499,-80.18503,"Hotels,Hotel",Accommodation & Food Services,1,5.0
"The Ritz-Carlton, Boston",Boston,MA,42.3531032,-71.06333,"Hotels,Resort,Meeting Room,Hotel",Accommodation & Food Services,1,5.0
The St. Regis New York,New York,NY,40.761408,-73.9743,"Hotels,Hotel",Accommodation & Food Services,51,4.529411764705882
Miyako Hotel Los Angeles,Los Angeles,CA,34.049671,-118.24019,"Hotels,Hotel",Accommodation & Food Services,20,4.467499999999999
AC Hotel Chicago Downtown,Chicago,IL,41.8935352,-87.62563,"Hotels,Hotel",Accommodation & Food Services,11,4.081818181818182
Ace Hotel Chicago,Chicago,IL,41.88757,-87.65201,"Hotels,Hotel",Accommodation & Food Services,4,4.65
dana hotel and spa,Chicago,IL,41.89424,-87.62837,"Hotels,Hotel",Accommodation & Food Services,46,4.482608695652174
Kinzie Hotel,Chicago,IL,41.889408,-87.628939,"Hotels,Hotel",Accommodation & Food Services,138,4.4380434782608695
Moxy Chicago Downtown,Chicago,IL,41.8917552,-87.63284,"Hotels,Hotel",Accommodation & Food Services,1,2.0
Montage Beverly Hills,Beverly Hills,CA,34.06773,-118.39892,"Hotels,Hotel",Accommodation & Food Services,11,4.0181818181818185
Hotel Zetta San Francisco,San Francisco,CA,37.783529,-122.40686,"Hotels,Hotel",Accommodation & Food Services,63,4.350793650793651
1906 Lodge At Coronado Beach,Coronado,CA,32.683517,-117.176483,"Resorts & Vacation Cottages,Hotels and motels,Hotel and motel reservations,Resorts,Hotels Motels,Accommodations & Lodging,Hotels & Motels,Hotel",Accommodation & Food Services,1,5.0
"Home2 Suites By Hilton Philadelphia-Convention Center, Pa",Philadelphia,PA,39.953892,-75.160093,"Hotels,Hotels and motels,Lodging,Accommodations & Lodging,Banquet Facilities,Hotel","Healthcare & Social Assistance,Accommodation & Food Services",18,4.222222222222222
Chelsea Savoy Hotel,New York,NY,40.744092,-73.995989,"Hotels,Hotels and motels,Travel agencies and bureaus,Hotel Motel & Resort Reservations,Accommodations & Lodging,Hotel Chelsea,Hotel",Accommodation & Food Services,2,4.0
Central Loop Hotel,Chicago,IL,41.879294,-87.631016,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Accommodations & Lodging,Motels,Hotel",Accommodation & Food Services,20,4.25
Royal Resort,Las Vegas,NV,36.13234,-115.16201,"Hotels,Resorts,Hotels-Apartment,Motels,Hotel",Accommodation & Food Services,2,4.0
Sterling Gardens Hotel,Las Vegas,NV,36.16118,-115.12369,"Hotels,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,4.0
SpringHill Suites Las Vegas Convention Center,Las Vegas,NV,36.13499,-115.15548,"Hotels,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
"The Cartwright Hotel - Union Square, BW Premier Collection",San Francisco,CA,37.7895,-122.4092,"Hotels,Hotels Motels,Hotel",Accommodation & Food Services,2,2.5
Best Western Plus Inn At The Vines,Napa,CA,38.2809,-122.27375,"Hotels,Hotel",Accommodation & Food Services,74,4.148648648648648
Aloft New Orleans Downtown,New Orleans,LA,29.952728,-90.07257,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,39,4.230769230769231
Hampton Inn and Suites Napa,Napa,CA,38.28311,-122.2812895,"Hotels and motels,Hotel",Accommodation & Food Services,25,4.32
Hampton Inn & Suites Dallas/Cockrell Hill I-30,Dallas,TX,32.76907,-96.89504,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,4,4.5
Fairfield Inn & Suites by Marriott Key West at The Keys Collection,Key West,FL,24.56863,-81.75256,"Hotels,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,20,4.3
The Villa Toscana,Chicago,IL,41.945041,-87.649413,"Hotels,Bed Breakfast Lakeview,Hotel",Accommodation & Food Services,3,4.666666666666667
Bed and Breakfast Inn Seattle,Seattle,WA,47.61878,-122.30823,"Hotels,Hotel",Accommodation & Food Services,1,5.0
Quality Inn Midway Airport,Chicago,IL,41.76036,-87.7415,"Hotels,Hotels and motels,Motels,Hotel",Accommodation & Food Services,1,5.0
Rodeway Inn,Chicago,IL,41.98916,-87.7059,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,22,2.727272727272727
Freehand Chicago,Chicago,IL,41.89233,-87.62727,"Hotels,Hotel",Accommodation & Food Services,1,1.0
WoodSpring Suites Phoenix I-10 West,Phoenix,AZ,33.46376,-112.15198,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,1,5.0
Holiday Inn North Phoenix,Phoenix,AZ,33.5944,-112.1199,"Resorts,Lodging,Luxury Hotels,Family-friendly Hotels,Accommodation Reservations,Hotels,Weekend Getaway Hotels,Conference Room,Tourist Hotels,Meeting Room,Hotels Motels,Hotel,Beach Hotels,Business Hotels",Accommodation & Food Services,32,3.0
Comfort Inn I-10 West at 51st Ave,Phoenix,AZ,33.46131,-112.17149,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,3,4.0
Red Roof Inn Phoenix North - Bell Road,Phoenix,AZ,33.642735,-112.116394,"Hotels,Hotel",Accommodation & Food Services,3,2.3333333333333335
Hotel 502,Phoenix,AZ,33.510227,-112.08061,"Hotels,Hotel",Accommodation & Food Services,8,3.25
The Nolitan Hotel,New York,NY,40.7206,-73.9953,"Hotels and motels,Hotel and motel reservations,Hotel and motel mgmt.,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
Hilton Garden Inn Atlanta Downtown,Atlanta,GA,33.76201,-84.39575,"Hotels,Event Space,Other Nightlife,Lodging,Hotel",Accommodation & Food Services,38,4.2105263157894735
"The Beekman, A Thompson Hotel",New York,NY,40.7112335,-74.006745,"Hotels,Hotels and motels,Real estate,Hotel",Accommodation & Food Services,1,5.0
The St. Regis Atlanta,Atlanta,GA,33.83985,-84.38262,"Hotels,Lodging,Hotel",Accommodation & Food Services,7,5.0
Extended Stay America - Atlanta - Perimeter - Hammond Drive,Atlanta,GA,33.91893,-84.35344,"Hotels,Corporate Lodging,Lodging,Hotels-Apartment,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,1.0
Quality Inn & Suites,Atlanta,GA,33.771,-84.5158,"Hotels,Hotels Motels,Motels,Hotel",Accommodation & Food Services,13,3.3846153846153846
Central Park West Hostel,New York,NY,40.78858,-73.97481,"Hotels,Hotel",Accommodation & Food Services,1,2.0
Hampton Inn Atlanta-Perimeter Center,Atlanta,GA,33.918404,-84.3589,"Hotels,Convention Services and Facilities,Hotel",Accommodation & Food Services,7,3.857142857142857
Extended Stay America - Atlanta - Clairmont,Atlanta,GA,33.84947,-84.31455,"Hotels,Corporate Lodging,Lodging,Hotels-Apartment,Motels,Hotel",Accommodation & Food Services,3,4.666666666666667
The Redbury New York,New York,NY,40.74455837,-73.98478813,"Hotels,Hotels and motels,Hotel",Accommodation & Food Services,2,2.5
Silver Cloud Inn - Seattle Lake Union,Seattle,WA,47.629745,-122.32902,"Budget Hotels,Tourist Hotels,Hotels Motels,Family-friendly Hotels,Hotel,Business Hotels",Accommodation & Food Services,2,3.0
Residence Inn Seattle Downtown/Lake Union,Seattle,WA,47.626358,-122.333984,"Hotels,Lodging,Hotel",Accommodation & Food Services,1,3.0
Inn at El Gaucho,Seattle,WA,47.6148,-122.3491,"Hotels,Boutique Hotels,Tourist Hotels,Corporate Lodging,Lodging,Hotels Motels,Motels,Hotels & Motels,Hotel,Business Hotels",Accommodation & Food Services,3,5.0
La Quinta Inn & Suites Phoenix I-10 West,Phoenix,AZ,33.465954,-112.166363,"Hotels,Hotel",Accommodation & Food Services,27,4.0
Residence Inn Phoenix North/Happy Valley,Phoenix,AZ,33.71098,-112.10363,"Hotels,Hotels Motels,Hotel Deer Valley,Motels,Hotel",Accommodation & Food Services,1,4.0
Courtyard Phoenix North/Happy Valley,Phoenix,AZ,33.71008,-112.10357,"Hotels,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,4.0
"The Carlyle, A Rosewood Hotel",New York,NY,40.774347,-73.963113,"Hotels and motels,Budget Hotels,American restaurants,Accommodations & Lodging,Family-friendly Hotels,Restaurants,Hotels,Travel,Hotel and motel reservations,Tourist Hotels,Hotels Motels,Hotel,Business Hotels",Accommodation & Food Services,1,1.0
DoubleTree by Hilton Hotel Metropolitan - New York City,New York,NY,40.75682,-73.97196,"Hotels,Hotel",Accommodation & Food Services,1,5.0
The Westin Chicago River North,Chicago,IL,41.88843999,-87.62992635,"Hotels Motels,Hotel",Accommodation & Food Services,14,4.5928571428571425
FOUND:RE Phoenix,Phoenix,AZ,33.46,-112.0739,"Hotels,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,21,4.761904761904762
TownePlace Suites Anaheim Maingate Near Angel Stadium,Anaheim,CA,33.804844,-117.888954,"Hotels,Corporate Lodging,Lodging,Hotels-Apartment,Motels,Hotel",Accommodation & Food Services,38,4.078947368421052
Maison de Macarty,New Orleans,LA,29.96348,-90.0374,"Hotels,Bed and Breakfast and Inns,Hotel",Accommodation & Food Services,1,5.0
Hotel Storyville,New Orleans,LA,29.96762,-90.06539,"Hotels,Hotels and motels,Lodging,New Orleans,Motels,Hotel",Accommodation & Food Services,1,5.0
Econo Lodge,New Orleans,LA,30.00616,-90.03204,"Hotels,Corporate Lodging,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,41,2.8536585365853657
Ace Hotel New Orleans,New Orleans,LA,29.948412,-90.07202,"Hotels,Hotels and motels,Hotel Central Business District,Hotel",Accommodation & Food Services,3,3.3333333333333335
XV Beacon,Boston,MA,42.3583231,-71.0619297,"Hotels,Hotels and motels,Resorts,Hotel",Accommodation & Food Services,1,5.0
Bricco Suites,Boston,MA,42.363056,-71.055115,"Hotels,Hotels and motels,Hotel",Accommodation & Food Services,2,5.0
Beacon Hill Hotel and Bistro,Boston,MA,42.356958,-71.0696757,"Hotels,Boutique Hotels,Tourist Hotels,Hotels Motels,Business Hotels,Hotel",Accommodation & Food Services,1,4.0
Embassy Suites by Hilton Boston at Logan Airport,Boston,MA,42.3704,-71.0316,"Wedding Sites,Meeting Facilities,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
The College Club of Boston,Boston,MA,42.35273,-71.07334,"Hotels,Bed Breakfast,Clubs,Hotel",Accommodation & Food Services,7,4.0
"The Roosevelt New Orleans, A Waldorf Astoria Hotel",New Orleans,LA,29.9543,-90.0722,"Hotels,Hotels Motels,Hotel",Accommodation & Food Services,2,4.5
Cornstalk Hotel,New Orleans,LA,29.959764,-90.06318,"Hotels,Hotels and motels,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,12,4.5
French Quarter Suites Hotel,New Orleans,LA,29.964303,-90.065584,"Hotels,Hotels and motels,Lodging,Motels,Hotel",Accommodation & Food Services,7,3.5714285714285716
Soniat House,New Orleans,LA,29.961279,-90.06055,"Hotels,Hotel",Accommodation & Food Services,2,4.5
The Pontchartrain Hotel,New Orleans,LA,29.935118,-90.07953,"Hotels,Lodging,Hotel",Accommodation & Food Services,5,3.6
Martinique Motel,Atlantic City,NJ,39.35245,-74.44787,"Hotels,Hotels and motels,Lodging,Motels,Hotel",Accommodation & Food Services,1,4.0
The Annex at The Chelsea,Atlantic City,NJ,39.352068,-74.447882,"Hotels,Hotel,Hotel Pool",Accommodation & Food Services,16,2.0
Eden Roc Inn & Suites,Anaheim,CA,33.802116,-117.923615,"Hotels,Hotels and motels,Hotel and motel reservations,Hotels & Motels,Hotel",Accommodation & Food Services,9,4.0
Best Western Courtesy Inn,Anaheim,CA,33.818059,-117.923649,"Hotels,Hotel",Accommodation & Food Services,9,4.111111111111111
Park Vue Inn,Anaheim,CA,33.80886,-117.91406,"Hotels,Hotels and motels,Hotel and motel reservations,Corporate Lodging,Lodging,Motels,Hotel",Accommodation & Food Services,5,4.2
Holiday Inn Anaheim-Resort Area,Anaheim,CA,33.800358,-117.90158,"Resorts,Budget Hotels,Cottages,Lodging,Luxury Hotels,Family-friendly Hotels,Weekend Getaway Hotels,Tourist Hotels,Conference Room,Hotels Motels,Meeting Room,Hotel,Beach Hotels,Business Hotels",Accommodation & Food Services,6,3.8333333333333335
Pacific Inn,Anaheim,CA,33.82613,-117.99274,"Hotels,Hotels and motels,Motels,Hotel",Accommodation & Food Services,1,2.0
Quality Inn & Suites Anaheim Maingate,Anaheim,CA,33.82277,-117.91631,"Hotels,Corporate Lodging,Motels,Hotel",Accommodation & Food Services,1,1.0
Best Western Envoy Inn,Atlantic City,NJ,39.35999,-74.42784,"Hotels,Lodging,Hotel",Accommodation & Food Services,19,3.473684210526316
Best Western Seven Seas,San Diego,CA,32.760746,-117.165945,"Hotels,Restaurant,Hotels Motels,Accommodations & Lodging,Motels,Hotel",Accommodation & Food Services,19,3.526315789473684
Embassy Suites by Hilton Philadelphia - Center City,Philadelphia,PA,39.9563,-75.169,"Wedding Sites,Meeting Facilities,Hotels Motels,Hotel",Accommodation & Food Services,1,4.0
Rodeway Inn San Diego Near Qualcomm Stadium,San Diego,CA,32.781576,-117.083121,"Hotels,Hotel",Accommodation & Food Services,4,3.0
Holiday Inn Express San Diego Sea World - Beach Area,San Diego,CA,32.803367,-117.217316,"Hotel & Motel Reservations,Resorts,Budget Hotels,Lodging,Accommodations & Lodging,Family-friendly Hotels,Motels,Hotels,Accommodation Reservations,Weekend Getaway Hotels,Tourist Hotels,Hotels Motels,Hotel,Beach Hotels,Business Hotels",Accommodation & Food Services,2,5.0
Grande Colonial La Jolla,La Jolla,CA,32.847256,-117.27551,"Luxury Hotels,Hotels Motels,Hotels & Motels,Hotel",Accommodation & Food Services,4,4.75
Residence Inn San Diego Central,San Diego,CA,32.834587,-117.143821,"Hotels,Hotels Motels,Hotels & Motels,Hotel",Accommodation & Food Services,1,5.0
SpringHill Suites San Diego Rancho Bernardo/Scripps Poway,San Diego,CA,32.937504,-117.109055,"Hotels,Hotel Northeastern San Diego,Hotels Motels,Hotel",Accommodation & Food Services,2,4.0
Fairfield Inn Philadelphia Airport,Philadelphia,PA,39.8867,-75.24774,"Hotels,Hotel Eastwick - Southwest Philadelphia,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,5,4.2
Hyatt Regency Orlando International Airport,Orlando,FL,28.43141,-81.30562,"Hotel Orlando International Airport,Budget Hotels,Lodging,Luxury Hotels,Hotel Pool Orlando International Airport,Family-friendly Hotels,Bars Clubs,Hotels,Restaurant,Weekend Getaway Hotels,Tourist Hotels,Hotels Motels,Airport Consultants,Hotel,Business Hotels",Accommodation & Food Services,1,5.0
Hilton Garden Inn Napa,Napa,CA,38.3241,-122.313,"Hotels Motels,Hotel",Accommodation & Food Services,1,4.0
NOPSI Hotel New Orleans,New Orleans,LA,29.952141,-90.073082,"Hotels and motels,Restaurants,Hotel",Accommodation & Food Services,12,4.166666666666667
"The Troubadour Hotel New Orleans, Tapestry Collection by Hilton",New Orleans,LA,29.95325,-90.07435,"Hotels,Resorts,Lodging,Hotel",Accommodation & Food Services,39,4.512820512820513
Courtyard Seattle Downtown/Lake Union,Seattle,WA,47.627487,-122.34056,"Hotels Motels,Hotels & Motels,Hotel",Accommodation & Food Services,22,4.090909090909091
Hyatt House Seattle/Downtown,Seattle,WA,47.62013,-122.34797,"Hotels and motels,Hotel South Lake Union,Hotel",Accommodation & Food Services,50,4.28
Aloft Philadelphia Downtown,Philadelphia,PA,39.95465,-75.16277,"Hotels,Hotels and motels,Bar and grill restaurants,Hotel and Motel Consultants,Lodging,Hotel",Accommodation & Food Services,16,5.0
"The Saint Hotel Key West, Autograph Collection",Key West,FL,24.5568,-81.80429,"Hotels,Hotels Motels,Hotel",Accommodation & Food Services,25,4.44
Suncoast Hotel and Casino,Las Vegas,NV,36.16883,-115.29116,"Hotels,Casinos,Resorts,Casino,Lodging,Hotel,Restaurants",Accommodation & Food Services,58,3.913793103448276
Rodeway Inn Oceanview,Atlantic City,NJ,39.35143,-74.44898,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,5,2.0
Rodeway Inn Boardwalk,Atlantic City,NJ,39.3605,-74.42425,"Hotels,Hotels and motels,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,2,2.0
River Hotel,Chicago,IL,41.88762,-87.62544,"Hotels,Hotels and motels,Lodging,Motels,Hotel",Accommodation & Food Services,56,4.053571428571429
Wyndham Canterbury at San Francisco,San Francisco,CA,37.788994,-122.41281,"Hotels,Hotels Motels,Hotels & Motels,Hotel",Accommodation & Food Services,10,3.9
Motel 6 Atlanta Downtown,Atlanta,GA,33.763016,-84.383865,"Hotels Motels,Hotel",Accommodation & Food Services,11,3.4545454545454546
Drury Inn & Suites Atlanta Airport,Atlanta,GA,33.6592,-84.4339,"Family-Friendly Hotels,Hotels and motels,Hotel and motel reservations,Budget Hotels,Tourist Hotels,Hotels Motels,Business Hotels,Hotel",Accommodation & Food Services,29,3.7586206896551726
Halcyon Hotel,San Francisco,CA,37.786957,-122.413384,"Hotels,Hotel Lower Nob Hill,Motels,Hotel",Accommodation & Food Services,1,1.0
Comfort Inn,Concord,NH,43.189562,-71.525797,"Budget Hotels,Tourist Hotels,Gyms and Fitness Centers,Lodging,Hotels Motels,Family-friendly Hotels,Hotels & Motels,Hotel,Business Hotels","Accommodation & Food Services,Arts Entertainment & Recreation",40,4.05
Clarion Inn & Suites,Chicago,IL,41.759111,-87.741423,"Hotel & Motel Reservations,Hotels,Motels,Lodges",Accommodation & Food Services,22,3.9545454545454546
Hotel St. Augustine,Miami Beach,FL,25.77323,-80.13436,"Hotels,Hotel",Accommodation & Food Services,34,3.7941176470588234
Hotel Royal,New Orleans,LA,29.9605,-90.0623,"Hotel,Hotels and motels,Hotels,Hotels Motels",Accommodation & Food Services,2,4.5
Bay Pointe Inn Restaurant,Shelbyville,MI,42.58192,-85.514609,"Hotels,Resorts,Hotels and motels,Lodging,Hotels Motels,Hotels & Motels,Motels,Restaurants,Hotel",Accommodation & Food Services,1,4.0
Hampton Inn Potomac Mills/Woodbridge,Woodbridge,VA,38.666375,-77.250458,"Hotels,Hotel & Motel Reservations,Accommodation Reservations,Hotel Woodbridge,Hotels Motels,Accommodations & Lodging,Hotel Representatives,Hotel",Accommodation & Food Services,5,4.2
Quality Inn Suites Medical Park,Durham,NC,36.027977,-78.958867,"Hotels,Hotels and motels,Corporate Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,5.0
Best Western Orange Plaza,Orange,CA,33.787749,-117.865958,"Hotels,Hotel & Motel Reservations,Accommodation Reservations,Lodging,Hotels Motels,Accommodations & Lodging,Hotel Representatives,Hotel",Accommodation & Food Services,2,4.0
The Academy Hotel Colorado Springs,Colorado Springs,CO,38.949329,-104.804688,"Hotels,Bed & Breakfasts,Hotels & Motels,Bed & Breakfast Reservations,Hotel",Accommodation & Food Services,1,5.0
Ramada Plaza Hawthorne/LAX,Hawthorne,CA,33.916172,-118.373279,"Hotels,Hotels and motels,Hotel and motel reservations,Accommodations & Lodging,Hotel",Accommodation & Food Services,1,4.0
Economy Inn Suites,Henderson,KY,37.864761,-87.573296,"Hotels,Banquet Halls Reception Facilities,Apartment Hotels,Hotels-apartment,Lodging,Accommodations & Lodging,Motels,Hotels & Motels,Hotel",Accommodation & Food Services,2,4.0
Holiday Inn Express Suites Fort Worth Downtown,Fort Worth,TX,32.746592,-97.33847,"Hotel & Motel Reservations,Budget Hotels,Resorts,Lodging,Accommodations & Lodging,Motels,Hotels,Accommodation Reservations,Family-Friendly Hotels,Hotel, Conference Room, and Meeting Room Downtown Fort Worth,Weekend Getaway Hotels,Tourist Hotels,Hotels & Motels,Hotel,Business Hotels,Beach Hotels",Accommodation & Food Services,1,5.0
La Quinta Inn Suites San Antonio Northwest,San Antonio,TX,29.547636,-98.673692,"Bed Breakfasts,Hotel & Motel Reservations,Budget Hotels,Apartment Hotels,Business Services,Inns,Lodging,Accommodations & Lodging,Family-friendly Hotels,Hotel Northwest Side,Hotels,Accommodation Reservations,Travel,Extended Stay,Weekend Getaway Hotels,Tourist Hotels,Hotels Motels,Beach Hotels,Business Hotels",Accommodation & Food Services,5,4.2
Pine Barn Inn,Danville,PA,41.10661,-76.65025,"Pubs,Restaurant,Bar,Hotels Motels,Hotel",Accommodation & Food Services,2,5.0
Wildflower Inn,Sedona,AZ,34.78843009,-111.7635301,"Hotel,Hotels,Lodging,Bed & Breakfast & Inns,Motels",Accommodation & Food Services,4,4.5
Hampton Inn & Suites Dodge City,Dodge City,KS,37.76599,-100.05909,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,6,5.0
Holiday Inn Express & Suites Baton Rouge East,Baton Rouge,LA,30.393513,-91.06225,"Hotels and motels,Hotel",Accommodation & Food Services,1,5.0
Arizona Mountain Inn & Cabins,Flagstaff,AZ,35.158066,-111.65575,"Hotels and motels,Hotel",Accommodation & Food Services,5,4.4
Hollywood Motel,New Castle,DE,39.6611,-75.6098,"Hotels,Hotels and motels,Hotel and motel reservations,Travel and Tourism,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,5.0
Stonebrook Lodge,Cherokee,NC,35.46881,-83.3034,"Hotels,Resorts,Hotels and motels,Tourist information services,Lodging,Hotels Motels,Luxury Hotels,Motels,Attractions,Hotels & Motels,Hotel",Accommodation & Food Services,2,4.5
Hampton Inn & Suites Coeur d'Alene,Coeur d'Alene,ID,47.69342,-116.80824,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotel",Accommodation & Food Services,1,5.0
Hampton Inn & Suites Newport/Middletown,Middletown,RI,41.51423,-71.30143,"Hotels,Hotels and motels,Restaurants,Hotel",Accommodation & Food Services,5,4.6
Snowshoe Motel,Frisco,CO,39.57532,-106.11013,"Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,2,3.5
Americas Best Value Inn-arkansas City,Arkansas City,KS,37.08145,-97.04019,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Motels,Hotel",Accommodation & Food Services,1,4.0
Liberty Inn,Winfield,KS,37.23989,-97.0039,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,1,5.0
Dover Inn,Dover,DE,39.17276,-75.52201,"Hotels and motels,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,1,2.0
The Colonial Hotel,Gardner,MA,42.56463,-71.949262,"Restaurant,Hotels and motels,Hotels Motels,Hotel",Accommodation & Food Services,2,4.0
Ramada-ankeny,Ankeny,IA,41.7307,-93.57961,"Hotels,Hotels and motels,Hotels Motels,Hotel",Accommodation & Food Services,2,4.0
Holiday Inn Express & Suites Denver Northeast - Brighton,Brighton,CO,39.96016,-104.77092,"Hotels and motels,Hotel",Accommodation & Food Services,1,5.0
Comfort Suites-dodge City,Dodge City,KS,37.7547,-100.05255,"Hotels,Hotels and motels,Hotel",Accommodation & Food Services,1,5.0
Pakalana Inn,Hilo,HI,19.722576,-155.084253,"Hotels,Hotels and motels,Travel and Tourism,Hotels Motels,Hotel",Accommodation & Food Services,1,5.0
